record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-002421,nar,nar,noun,word,"iron. Nar (eit-), ka, n. slag.",155,0.975,1,no,pending,yes
kha-n1906-002427,nar- puh,nar- puh,noun,phrase,a pickaxe.,155,0.975,1,no,pending,yes
kha-n1906-002425,nar-ka-bili,nar-ka-bili,noun,compound,fetters.,155,0.975,1,no,pending,yes
kha-n1906-002426,nar-liang,nar-liang,noun,compound,a solid raw iron which has been cleft into two halves and sold in the market.,155,0.975,1,no,pending,yes
kha-n1906-002422,nara,nara,noun,word,a kind of,155,0.975,1,no,pending,yes
kha-n1906-002424,narad,narad,verb,word,to object.,155,0.975,1,no,pending,yes
kha-n1906-002431,narnm,narnm,adverb,word,"from below. Narwab, ?/, ;?, a lump of melte;l iron, one split in the middle which can be hung up.",155,0.975,1,no,pending,yes
kha-n1906-002429,narsaw,narsaw,noun,word,a red hot iron.,155,0.975,1,no,pending,yes
kha-n1906-002430,narsuh,narsuh,noun,word,"a piece of wire used for roasting flesh, fish, etc.",155,0.975,1,no,pending,yes
kha-n1906-002433,naw-naw,naw-naw,adverb,reduplication,"hard and dry ; (as, kane ka doh ka la eh naio-naw). Nawei, id. from another.",156,0.975,1,no,pending,yes
kha-n1906-002435,naw-rang,naw-rang,adverb,compound,"harshly (speak) ; [as, u kren naw-rang ia kiba ha iing ha sem.] * Hindi. | || Arabic. uo NE 'f^",156,0.975,1,no,pending,yes
kha-n1906-002434,nawei-na-ar,nawei-na-ar,adverb,compound,from some other person or quarter.,156,0.975,1,no,pending,yes
kha-n1906-002399,ndm,ndm,noun,word,"fame, reputation ;—v. to portend (used with "" ka tyngab"" = a crow) ; to be spoken well of by the people (as, ki la nam baroh ia ka jingbha Jong u) ; to request earnestly, to sup- l^licate (as, u la najti u la ud ka bym lah ba'n ong ha uga haduh ba nga la sngewsynei ia u) ; tangndm, ph\ nominally, [as, "" ynda nga la kyrpad jindei, u ia ai, tang ban nam, shi suka.""] 'nam {abhrev. of sndm), ka, n. blood. 'nam {abbrev. of kJinam), u, n. an arrow.",154,0.975,1,no,pending,yes
kha-n1906-002438,nei,nei,noun,word,til. (Bot. Ferilla ocimoides).,156,0.975,1,no,pending,yes
kha-n1906-002439,nei-iong,nei-iong,noun,compound,"sesame, gingelly or ^i^seed. 'nem, (abbrev. of snem) ; ka, n. a year; 2. (abbrev. of "" tyrnem"" a hammer) [as, 'nem-hsih, 'nem-iit, etc.]",156,0.975,1,no,pending,yes
kha-n1906-002437,neng,neng,noun,word,"elevation, north. Neh, V. to remain, to stick to.",156,0.975,1,no,pending,yes
